-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
solve<LocalSort>/17/300/real_time                  957472 ns       957517 ns          731
solve<LocalSort>/17/300/real_time                  957679 ns       957729 ns          731
solve<LocalSort>/17/300/real_time                  958272 ns       958321 ns          731
solve<LocalSort>/17/300/real_time_mean             957808 ns       957855 ns            3
solve<LocalSort>/17/300/real_time_median           957679 ns       957729 ns            3
solve<LocalSort>/17/300/real_time_stddev              415 ns          416 ns            3
solve<LocalSort>/17/300/real_time_cv                 0.04 %          0.04 %             3
solve<LocalSort>/150/300/real_time                 749191 ns       749240 ns          933
solve<LocalSort>/150/300/real_time                 748897 ns       748948 ns          933
solve<LocalSort>/150/300/real_time                 748935 ns       748991 ns          933
solve<LocalSort>/150/300/real_time_mean            749008 ns       749060 ns            3
solve<LocalSort>/150/300/real_time_median          748935 ns       748991 ns            3
solve<LocalSort>/150/300/real_time_stddev             160 ns          157 ns            3
solve<LocalSort>/150/300/real_time_cv                0.02 %          0.02 %             3
solve<LocalSort>/300/300/real_time                 731369 ns       731415 ns          958
solve<LocalSort>/300/300/real_time                 731314 ns       731365 ns          958
solve<LocalSort>/300/300/real_time                 732365 ns       732414 ns          958
solve<LocalSort>/300/300/real_time_mean            731682 ns       731731 ns            3
solve<LocalSort>/300/300/real_time_median          731369 ns       731415 ns            3
solve<LocalSort>/300/300/real_time_stddev             592 ns          592 ns            3
solve<LocalSort>/300/300/real_time_cv                0.08 %          0.08 %             3
solve<LocalSort>/2/17576/real_time               55697846 ns     55698334 ns           13
solve<LocalSort>/2/17576/real_time               55710015 ns     55710335 ns           13
solve<LocalSort>/2/17576/real_time               55689433 ns     55689875 ns           13
solve<LocalSort>/2/17576/real_time_mean          55699098 ns     55699515 ns            3
solve<LocalSort>/2/17576/real_time_median        55697846 ns     55698334 ns            3
solve<LocalSort>/2/17576/real_time_stddev           10348 ns        10281 ns            3
solve<LocalSort>/2/17576/real_time_cv                0.02 %          0.02 %             3
solve<LocalSort>/132/17576/real_time             51732072 ns     51731244 ns           14
solve<LocalSort>/132/17576/real_time             51734596 ns     51734567 ns           14
solve<LocalSort>/132/17576/real_time             51686977 ns     51687486 ns           14
solve<LocalSort>/132/17576/real_time_mean        51717882 ns     51717766 ns            3
solve<LocalSort>/132/17576/real_time_median      51732072 ns     51731244 ns            3
solve<LocalSort>/132/17576/real_time_stddev         26794 ns        26276 ns            3
solve<LocalSort>/132/17576/real_time_cv              0.05 %          0.05 %             3
solve<LocalSort>/8788/17576/real_time            47221850 ns     47221398 ns           15
solve<LocalSort>/8788/17576/real_time            47473785 ns     47474245 ns           15
solve<LocalSort>/8788/17576/real_time            47392513 ns     47392823 ns           15
solve<LocalSort>/8788/17576/real_time_mean       47362716 ns     47362822 ns            3
solve<LocalSort>/8788/17576/real_time_median     47392513 ns     47392823 ns            3
solve<LocalSort>/8788/17576/real_time_stddev       128584 ns       129065 ns            3
solve<LocalSort>/8788/17576/real_time_cv             0.27 %          0.27 %             3
solve<LocalSort>/17576/17576/real_time           46794376 ns     46794939 ns           15
solve<LocalSort>/17576/17576/real_time           47133230 ns     47133885 ns           15
solve<LocalSort>/17576/17576/real_time           46798847 ns     46798071 ns           15
